date,group,value
2009/10,Education for under-fives,5.469915465
2010/11,Education for under-fives,5.301697286
2011/12,Education for under-fives,5.345408932
2012/13,Education for under-fives,5.809863203
2013/14,Education for under-fives,5.792635616
2009/10,Primary education,28.47407441
2010/11,Primary education,28.20249402
2011/12,Primary education,29.83071913
2012/13,Primary education,29.62639384
2013/14,Primary education,30.00509876
2009/10,Secondary education,40.69097238
2010/11,Secondary education,40.21027552
2011/12,Secondary education,41.47899237
2012/13,Secondary education,41.65651224
2013/14,Secondary education,39.95322441
2009/10,Tertiary education,14.89421816
2010/11,Tertiary education,17.24936885
2011/12,Tertiary education,15.06956512
2012/13,Tertiary education,15.54201632
2013/14,Tertiary education,17.02099359
