date,group,value
1991-01-01,line1,142
1992-01-02,line1,146
1993-01-02,line1,141
1994-01-03,line1,112
1995-01-04,line1,130
1996-01-05,line1,141
1997-01-05,line1,140
1998-01-06,line1,121
1999-01-07,line1,133
2000-01-08,line1,151
2001-01-08,line1,150
2002-01-09,line1,172
2003-01-10,line1,184
2004-01-11,line1,189
2005-01-11,line1,175
2006-01-12,line1,200
2007-01-13,line1,158
2008-01-14,line1,159
2009-01-14,line1,130
2010-01-15,line1,125
2011-01-16,line1,133
2012-01-17,line1,131
2013-01-17,line1,125
2014-01-18,line1,128
2015-01-19,line1,132
1991-01-01,line2,51
1992-01-02,line2,39
1993-01-02,line2,40
1994-01-03,line2,46
1995-01-04,line2,38
1996-01-05,line2,50
1997-01-05,line2,51
1998-01-06,line2,52
1999-01-07,line2,57
2000-01-08,line2,55
2001-01-08,line2,50
2002-01-09,line2,54
2003-01-10,line2,47
2004-01-11,line2,45
2005-01-11,line2,56
2006-01-12,line2,63
2007-01-13,line2,66
2008-01-14,line2,126
2009-01-14,line2,104
2010-01-15,line2,92
2011-01-16,line2,92
2012-01-17,line2,75
2013-01-17,line2,78
2014-01-18,line2,86
2015-01-19,line2,86
1991-01-01,line3,91
1992-01-02,line3,96
1993-01-02,line3,85
1994-01-03,line3,80
1995-01-04,line3,69
1996-01-05,line3,73
1997-01-05,line3,NA
1998-01-06,line3,NA
1999-01-07,line3,NA
2000-01-08,line3,NA
2001-01-08,line3,NA
2002-01-09,line3,NA
2003-01-10,line3,NA
2004-01-11,line3,109
2005-01-11,line3,129
2006-01-12,line3,135
2007-01-13,line3,117
2008-01-14,line3,142
2009-01-14,line3,134
2010-01-15,line3,122
2011-01-16,line3,126
2012-01-17,line3,115
2013-01-17,line3,114
2014-01-18,line3,105
2015-01-19,line3,88
